,STOP_ID,STOP_NAME,ROUTEUSSP
334,18526,30-Flemington Racecourse/Epsom Rd (Flemington),57
335,18527,29-Flemington Racecourse/Racecourse Rd (Flemington),57
336,18528,28-Smithfield Rd/Racecourse Rd (Flemington),57
337,18529,26-Newmarket Plaza/Racecourse Rd (Kensington),57
338,18530,25-Wellington St/Racecourse Rd (Flemington),57
339,18531,24-Collett St/Racecourse Rd (Kensington),57
340,18532,23-Stubbs St/Racecourse Rd (Flemington),57
341,18533,22-Boundary Rd/Racecourse Rd (North Melbourne),57
342,18536,19-Abbotsford St Interchange/Abbotsford St (North Melbourne),57
343,18537,18-Erskine St/Abbotsford St (North Melbourne),57
344,18538,17-Canning St/Abbotsford St (North Melbourne),57
345,18539,16-Haines St/Abbotsford St (North Melbourne),57
346,18540,15-Arden St/Abbotsford St (North Melbourne),57
347,18541,14-Abbotsford St/Queensberry St (North Melbourne),57
348,18543,23-Royal Park/Royal Park (Parkville),58
349,18544,24-Elliott Ave/Royal Park (Parkville),58
350,18545,25-State Netball Hockey Centre/Royal Park (Parkville),58
351,18546,26-Melbourne Zoo/Royal Park (Parkville),58
352,18547,27-Royal Park Station/Royal Park (Parkville),58
353,18548,28-Park St/Royal Park (Parkville),58
354,18549,29-Brunswick Rd/Royal Park (Parkville),58
355,18550,30-Union Square Shopping Centre/Grantham St (Brunswick West),58
356,18551,31-Dawson St/Grantham St (Brunswick West),58
357,18552,32-Foden St/Dawson St (Brunswick),58
358,18553,33-Daly St/Dawson St (Brunswick),58
359,18554,34-Smith St/Melville Rd (Brunswick West),58
360,18555,35-Victoria St/Melville Rd (Brunswick West),58
361,18556,36-Hope St/Melville Rd (Brunswick West),58
362,18557,37-Albion St/Melville Rd (Brunswick West),58
363,18558,38-Jacobs Reserve/Melville Rd (Brunswick West),58
364,18559,39-McGregor Ave/Melville Rd (Brunswick West),58
365,18560,40-Moreland Rd/Melville Rd (Brunswick West),58
366,18561,41-Woodlands Ave/Melville Rd (Pascoe Vale South),58
367,18562,42-Reynard St/Melville Rd (Pascoe Vale South),58
368,18563,43-Princes Tce/Melville Rd (Pascoe Vale South),58
369,18564,44-Brearley Pde/Melville Rd (Pascoe Vale South),58
370,18566,51-Balwyn Rd/Doncaster Rd (Balwyn North),48
371,18567,50-Dight Ave/Doncaster Rd (Balwyn North),48
372,18568,49-Buchanan Ave/Doncaster Rd (Balwyn North),48
373,18569,48-Osburn Ave/Doncaster Rd (Balwyn North),48
374,18570,47-North Balwyn Shopping Centre/Doncaster Rd (Balwyn North),48
375,18571,46-Wattle Ave/Doncaster Rd (Balwyn North),48
376,18573,26-Ferrars St/Park St (South Melbourne),1
377,18574,43-Kew High School/High St (Kew East),48
378,18575,42-Woodlands Ave/High St (Kew East),48
379,18576,41-Station St/High St (Kew East),48
380,18577,40-Harp Village/High St (Kew East),48
381,18578,39-Harp Rd/High St (Kew East),48
382,18579,38-Victoria Park/High St (Kew East),48
383,18580,37-Kew Cemetery/High St (Kew),48
384,18581,36-Gladstone St/High St (Kew),48
385,18582,35-Charles St/High St (Kew),48
386,18583,34-Union St/High St (Kew),48
387,18584,33-Kew Shopping Centre/High St (Kew),48
388,18588,25-Brook St/Church St (Hawthorn),48
389,18589,24-Hill St/Church St (Hawthorn),48
390,18591,65-Victoria St/Church St (Richmond),78
391,18592,64-Elizabeth St/Church St (Richmond),78
392,18593,63-Tweedie Pl/Church St (Richmond),78
393,18594,62-Highett St/Church St (Richmond),78
394,18595,61-Bridge Rd/Church St (Richmond),78
395,18596,60-Abinger St/Church St (Richmond),78
396,18597,59-St Ignatius Church/Church St (Richmond),78
397,18598,58-Gipps St/Church St (Richmond),78
398,18599,57-Swan St/Church St (Richmond),78
399,18601,55-Adelaide St/Church St (Cremorne),78
400,18602,54-Cotter St/Church St (Cremorne),78
401,18603,53-Howard St/Church St (Richmond),78
402,18605,51-Malcolm St/Chapel St (South Yarra),78
403,18606,50-Toorak Rd/Chapel St (South Yarra),78
404,18607,49-Palermo St/Chapel St (South Yarra),78
405,18608,48-Cliff St/Chapel St (South Yarra),78
406,18609,47-Commercial Rd/Chapel St (Prahran),78
407,18610,46-Chatham St/Chapel St (Prahran),78
408,18611,45-High St/Chapel St (Prahran),78
409,18612,44-Duke St/Chapel St (Windsor),78
410,18613,43-Windsor Railway Station/Chapel St (Windsor),78
411,18614,42-Dandenong Rd/Chapel St (St Kilda East),78
412,18615,41-St Michaels Grammar School/Chapel St (St Kilda),78
413,18616,40-Alma Rd/Chapel St (St Kilda East),78
414,18617,39-Argyle St/Chapel St (St Kilda East),78
415,18618,38-Inkerman St/Chapel St (St Kilda East),78
416,18619,37-Chapel St/Carlisle St (Balaclava),"3/3a,16"
417,18620,36-St Kilda Town Hall/Carlisle St (St Kilda),"3/3a,16"
418,18621,37-Carlisle St/Chapel St (St Kilda),78
419,18622,36-Brighton Rd/Chapel St (St Kilda),78
420,18623,35-St Kilda Rd/Carlisle St (St Kilda),"3/3a,67,16"
421,18624,34-Greeves St/Carlisle St (St Kilda),"3/3a,16"
422,18625,33-Barkly St/Carlisle St (St Kilda),"3/3a,16"
423,18632,38-Balaclava Station/Carlisle St (Balaclava),"3/3a,16"
424,18633,39-Orange Gr/Carlisle St (Balaclava),"3/3a,16"
425,18634,40-Hotham St/Carlisle St (Balaclava),"3/3a,16"
426,18635,41-Vadlure Ave/Balaclava Rd (Caulfield North),"3/3a,16"
427,18636,42-Sidwell Ave/Balaclava Rd (Caulfield North),"3/3a,16"
428,18637,43-Orrong Rd/Balaclava Rd (Caulfield North),"3/3a,16"
429,18638,44-Ontario St/Balaclava Rd (Caulfield North),"3/3a,16"
430,18639,45-Lumeah Rd/Balaclava Rd (Caulfield North),"3/3a,16"
431,18640,46-Kooyong Rd/Balaclava Rd (Caulfield North),"3/3a,16"
432,18641,47-Elmhurst Rd/Balaclava Rd (Caulfield North),"3/3a,16"
433,18645,51-Hawthorn Rd/Balaclava Rd (Caulfield North),"3/3a,16"
434,18646,52-Caulfield Park Bowling Club/Balaclava Rd (Caulfield North),3/3a
435,18647,53-Caulfield Park/Balaclava Rd (Caulfield North),3/3a
436,18648,54-Kambrook Rd/Balaclava Rd (Caulfield North),3/3a
437,18649,55-Normanby Rd/Balaclava Rd (Caulfield North),3/3a
438,18650,56-Caulfield Racecourse/Normanby Rd (Caulfield North),3/3a
439,18651,57-Caulfield Railway Station/Derby Rd (Caulfield East),3/3a
440,18652,58-Dandenong Rd/Derby Rd (Caulfield North),3/3a
441,18653,59-Dandenong Rd/Waverley Rd (Malvern East),3/3a
442,18654,60-Burke Rd/Waverley Rd (Malvern East),3/3a
443,18655,61-Tennyson St/Waverley Rd (Malvern East),3/3a
444,18656,62-The Avenue/Waverley Rd (Malvern East),3/3a
445,18657,63-Oak Gr/Waverley Rd (Malvern East),3/3a
446,18658,27-Park St/Montague St (South Melbourne),1
447,18659,28-Montague St/Bridport St (Albert Park),1
448,18660,29-Bridport St/Victoria Ave (Albert Park),1
449,18661,30-Richardson St/Victoria Ave (Albert Park),1
450,18662,31-Graham St/Victoria Ave (Albert Park),1
